state,metric,units,year,value
Colorado,avg_farm_size,acres,2025,837
Connecticut,num_farms,number,2024,4900
Connecticut,num_farms,number,2025,4900
Connecticut,land_in_farms,"1,000 acres",2024,370
Connecticut,land_in_farms,"1,000 acres",2025,370
Connecticut,avg_farm_size,acres,2024,76
Connecticut,avg_farm_size,acres,2025,76
Delaware,num_farms,number,2024,2150
Delaware,num_farms,number,2025,2150
Delaware,land_in_farms,"1,000 acres",2024,520
Delaware,land_in_farms,"1,000 acres",2025,520
Delaware,avg_farm_size,acres,2024,242
Delaware,avg_farm_size,acres,2025,242
Florida,num_farms,number,2024,44400
Florida,num_farms,number,2025,44000
Florida,land_in_farms,"1,000 acres",2024,9700
Florida,land_in_farms,"1,000 acres",2025,9700
Florida,avg_farm_size,acres,2024,218
Florida,avg_farm_size,acres,2025,220
Georgia,num_farms,number,2024,38300
Georgia,num_farms,number,2025,38000
Georgia,land_in_farms,"1,000 acres",2024,9900
Georgia,land_in_farms,"1,000 acres",2025,9900
Georgia,avg_farm_size,acres,2024,258
Georgia,avg_farm_size,acres,2025,261
Hawaii,num_farms,number,2024,6500
Hawaii,num_farms,number,2025,6500
Hawaii,land_in_farms,"1,000 acres",2024,1050
Hawaii,land_in_farms,"1,000 acres",2025,1050
Hawaii,avg_farm_size,acres,2024,162
Hawaii,avg_farm_size,acres,2025,162
Idaho,num_farms,number,2024,22500
Idaho,num_farms,number,2025,22400
Idaho,land_in_farms,"1,000 acres",2024,11500
Idaho,land_in_farms,"1,000 acres",2025,11500
Idaho,avg_farm_size,acres,2024,511
Idaho,avg_farm_size,acres,2025,513
Illinois,num_farms,number,2024,70000
Illinois,num_farms,number,2025,69600
Illinois,land_in_farms,"1,000 acres",2024,26300
Illinois,land_in_farms,"1,000 acres",2025,26100
Illinois,avg_farm_size,acres,2024,376
Illinois,avg_farm_size,acres,2025,375
Indiana,num_farms,number,2024,52000
Indiana,num_farms,number,2025,51500
Indiana,land_in_farms,"1,000 acres",2024,14500
Indiana,land_in_farms,"1,000 acres",2025,14500
Indiana,avg_farm_size,acres,2024,279
Indiana,avg_farm_size,acres,2025,282
Iowa,num_farms,number,2024,86700
Iowa,num_farms,number,2025,86200
Iowa,land_in_farms,"1,000 acres",2024,30000
Iowa,land_in_farms,"1,000 acres",2025,29900
Iowa,avg_farm_size,acres,2024,346
Iowa,avg_farm_size,acres,2025,347
Kansas,num_farms,number,2024,55500
Kansas,num_farms,number,2025,54800
Kansas,land_in_farms,"1,000 acres",2024,44800
Kansas,land_in_farms,"1,000 acres",2025,44600
Kansas,avg_farm_size,acres,2024,807
Kansas,avg_farm_size,acres,2025,814
Kentucky,num_farms,number,2024,69100
Kentucky,num_farms,number,2025,67700
Kentucky,land_in_farms,"1,000 acres",2024,12400
Kentucky,land_in_farms,"1,000 acres",2025,12300
Kentucky,avg_farm_size,acres,2024,179
Kentucky,avg_farm_size,acres,2025,182
Louisiana,num_farms,number,2024,24600
Louisiana,num_farms,number,2025,24300
Louisiana,land_in_farms,"1,000 acres",2024,8000
Louisiana,land_in_farms,"1,000 acres",2025,8000
Louisiana,avg_farm_size,acres,2024,325
Louisiana,avg_farm_size,acres,2025,329
Maine,num_farms,number,2024,7000
Maine,num_farms,number,2025,6900
Maine,land_in_farms,"1,000 acres",2024,1200
Maine,land_in_farms,"1,000 acres",2025,1200
Maine,avg_farm_size,acres,2024,171
Maine,avg_farm_size,acres,2025,174
Maryland,num_farms,number,2024,12600
Maryland,num_farms,number,2025,12600
Maryland,land_in_farms,"1,000 acres",2024,2000
Maryland,land_in_farms,"1,000 acres",2025,2000
Maryland,avg_farm_size,acres,2024,159
Maryland,avg_farm_size,acres,2025,159
Massachusetts,num_farms,number,2024,6900
Massachusetts,num_farms,number,2025,6900
Massachusetts,land_in_farms,"1,000 acres",2024,470
Massachusetts,land_in_farms,"1,000 acres",2025,470
Massachusetts,avg_farm_size,acres,2024,68
Massachusetts,avg_farm_size,acres,2025,68
Michigan,num_farms,number,2024,44000
Michigan,num_farms,number,2025,43800
Michigan,land_in_farms,"1,000 acres",2024,9400
Michigan,land_in_farms,"1,000 acres",2025,9400
Michigan,avg_farm_size,acres,2024,214
Michigan,avg_farm_size,acres,2025,215
Minnesota,num_farms,number,2024,65300
Minnesota,num_farms,number,2025,64000
Minnesota,land_in_farms,"1,000 acres",2024,25400
Minnesota,land_in_farms,"1,000 acres",2025,25300
Minnesota,avg_farm_size,acres,2024,389
Minnesota,avg_farm_size,acres,2025,395
Mississippi,num_farms,number,2024,30800
Mississippi,num_farms,number,2025,30500
Mississippi,land_in_farms,"1,000 acres",2024,10200
Mississippi,land_in_farms,"1,000 acres",2025,10200
Mississippi,avg_farm_size,acres,2024,331
Mississippi,avg_farm_size,acres,2025,334
Missouri,num_farms,number,2024,85700
Missouri,num_farms,number,2025,85500
Missouri,land_in_farms,"1,000 acres",2024,26900
Missouri,land_in_farms,"1,000 acres",2025,26600
Missouri,avg_farm_size,acres,2024,314
Missouri,avg_farm_size,acres,2025,311
Montana,num_farms,number,2024,23800
Montana,num_farms,number,2025,23300
Montana,land_in_farms,"1,000 acres",2024,57400
Montana,land_in_farms,"1,000 acres",2025,57300
Montana,avg_farm_size,acres,2024,2412
Montana,avg_farm_size,acres,2025,2459
Nebraska,num_farms,number,2024,44300
Nebraska,num_farms,number,2025,44100
Nebraska,land_in_farms,"1,000 acres",2024,44000
Nebraska,land_in_farms,"1,000 acres",2025,43900
Nebraska,avg_farm_size,acres,2024,993
Nebraska,avg_farm_size,acres,2025,995
Nevada,num_farms,number,2024,3100
Nevada,num_farms,number,2025,3000
Nevada,land_in_farms,"1,000 acres",2024,5900
Nevada,land_in_farms,"1,000 acres",2025,5900
Nevada,avg_farm_size,acres,2024,1903
Nevada,avg_farm_size,acres,2025,1967
New Hampshire,num_farms,number,2024,3850
New Hampshire,num_farms,number,2025,3850
New Hampshire,land_in_farms,"1,000 acres",2024,420
New Hampshire,land_in_farms,"1,000 acres",2025,420
New Hampshire,avg_farm_size,acres,2024,109
New Hampshire,avg_farm_size,acres,2025,109
New Jersey,num_farms,number,2024,9900
New Jersey,num_farms,number,2025,9900
New Jersey,land_in_farms,"1,000 acres",2024,700
New Jersey,land_in_farms,"1,000 acres",2025,690
New Jersey,avg_farm_size,acres,2024,71
New Jersey,avg_farm_size,acres,2025,70
New Mexico,num_farms,number,2024,20800
New Mexico,num_farms,number,2025,20600
New Mexico,land_in_farms,"1,000 acres",2024,38900
New Mexico,land_in_farms,"1,000 acres",2025,38600
New Mexico,avg_farm_size,acres,2024,1870
New Mexico,avg_farm_size,acres,2025,1874
New York,num_farms,number,2024,30500
New York,num_farms,number,2025,30000
New York,land_in_farms,"1,000 acres",2024,6500
New York,land_in_farms,"1,000 acres",2025,6400
New York,avg_farm_size,acres,2024,213
New York,avg_farm_size,acres,2025,213
North Carolina,num_farms,number,2024,42100
North Carolina,num_farms,number,2025,41300
North Carolina,land_in_farms,"1,000 acres",2024,8100
North Carolina,land_in_farms,"1,000 acres",2025,8000
North Carolina,avg_farm_size,acres,2024,192
North Carolina,avg_farm_size,acres,2025,194
North Dakota,num_farms,number,2024,24800
North Dakota,num_farms,number,2025,24500
North Dakota,land_in_farms,"1,000 acres",2024,38500
North Dakota,land_in_farms,"1,000 acres",2025,38500
North Dakota,avg_farm_size,acres,2024,1552
North Dakota,avg_farm_size,acres,2025,1571
Ohio,num_farms,number,2024,74000
Ohio,num_farms,number,2025,73600
Ohio,land_in_farms,"1,000 acres",2024,13500
Ohio,land_in_farms,"1,000 acres",2025,13500
Ohio,avg_farm_size,acres,2024,182
Ohio,avg_farm_size,acres,2025,183
Oklahoma,num_farms,number,2024,70000
Oklahoma,num_farms,number,2025,69700
Oklahoma,land_in_farms,"1,000 acres",2024,32900
Oklahoma,land_in_farms,"1,000 acres",2025,32800
Oklahoma,avg_farm_size,acres,2024,470
Oklahoma,avg_farm_size,acres,2025,471
Oregon,num_farms,number,2024,35500
Oregon,num_farms,number,2025,35400
Oregon,land_in_farms,"1,000 acres",2024,15300
Oregon,land_in_farms,"1,000 acres",2025,15300
Oregon,avg_farm_size,acres,2024,431
Oregon,avg_farm_size,acres,2025,432
Pennsylvania,num_farms,number,2024,48800
Pennsylvania,num_farms,number,2025,48400
Pennsylvania,land_in_farms,"1,000 acres",2024,7100
Pennsylvania,land_in_farms,"1,000 acres",2025,7100
Pennsylvania,avg_farm_size,acres,2024,145
Pennsylvania,avg_farm_size,acres,2025,147
Rhode Island,num_farms,number,2024,1000
Rhode Island,num_farms,number,2025,1000
Rhode Island,land_in_farms,"1,000 acres",2024,60
Rhode Island,land_in_farms,"1,000 acres",2025,60
Rhode Island,avg_farm_size,acres,2024,60
Rhode Island,avg_farm_size,acres,2025,60
South Carolina,num_farms,number,2024,22600
South Carolina,num_farms,number,2025,22500
South Carolina,land_in_farms,"1,000 acres",2024,4600
South Carolina,land_in_farms,"1,000 acres",2025,4600
South Carolina,avg_farm_size,acres,2024,204
South Carolina,avg_farm_size,acres,2025,204
South Dakota,num_farms,number,2024,28300
South Dakota,num_farms,number,2025,28200
South Dakota,land_in_farms,"1,000 acres",2024,42300
South Dakota,land_in_farms,"1,000 acres",2025,42200
South Dakota,avg_farm_size,acres,2024,1495
South Dakota,avg_farm_size,acres,2025,1496
Tennessee,num_farms,number,2024,62900
Tennessee,num_farms,number,2025,62500
Tennessee,land_in_farms,"1,000 acres",2024,10700
Tennessee,land_in_farms,"1,000 acres",2025,10700
Tennessee,avg_farm_size,acres,2024,170
Tennessee,avg_farm_size,acres,2025,171
Texas,num_farms,number,2024,231000
Texas,num_farms,number,2025,229000
Texas,land_in_farms,"1,000 acres",2024,125000
Texas,land_in_farms,"1,000 acres",2025,125000
Texas,avg_farm_size,acres,2024,541
Texas,avg_farm_size,acres,2025,546
Utah,num_farms,number,2024,17300
Utah,num_farms,number,2025,17200
Utah,land_in_farms,"1,000 acres",2024,10500
Utah,land_in_farms,"1,000 acres",2025,10500
Utah,avg_farm_size,acres,2024,607
Utah,avg_farm_size,acres,2025,610
Vermont,num_farms,number,2024,6300
Vermont,num_farms,number,2025,6300
Vermont,land_in_farms,"1,000 acres",2024,1200
Vermont,land_in_farms,"1,000 acres",2025,1200
Vermont,avg_farm_size,acres,2024,190
Vermont,avg_farm_size,acres,2025,190
Virginia,num_farms,number,2024,39000
Virginia,num_farms,number,2025,38600
Virginia,land_in_farms,"1,000 acres",2024,7300
Virginia,land_in_farms,"1,000 acres",2025,7200
Virginia,avg_farm_size,acres,2024,187
Virginia,avg_farm_size,acres,2025,187
Washington,num_farms,number,2024,31800
Washington,num_farms,number,2025,31500
Washington,land_in_farms,"1,000 acres",2024,13800
Washington,land_in_farms,"1,000 acres",2025,13700
Washington,avg_farm_size,acres,2024,434
Washington,avg_farm_size,acres,2025,435
West Virginia,num_farms,number,2024,22600
West Virginia,num_farms,number,2025,22500
West Virginia,land_in_farms,"1,000 acres",2024,3500
West Virginia,land_in_farms,"1,000 acres",2025,3500
West Virginia,avg_farm_size,acres,2024,155
West Virginia,avg_farm_size,acres,2025,156
Wisconsin,num_farms,number,2024,58200
Wisconsin,num_farms,number,2025,58000
Wisconsin,land_in_farms,"1,000 acres",2024,13800
Wisconsin,land_in_farms,"1,000 acres",2025,13700
Wisconsin,avg_farm_size,acres,2024,237
Wisconsin,avg_farm_size,acres,2025,236
Wyoming,num_farms,number,2024,10500
Wyoming,num_farms,number,2025,10500
Wyoming,land_in_farms,"1,000 acres",2024,28800
Wyoming,land_in_farms,"1,000 acres",2025,28800
Wyoming,avg_farm_size,acres,2024,2743
Wyoming,avg_farm_size,acres,2025,2743
